RBPname,GeneID,Essential Genes,Splicing regulation,Spliceosome,RNA modification,3-end processing,rRNA processing,Ribosome & basic translation,RNA stability & decay,microRNA processing,RNA localization,RNA export,Translation regulation,tRNA regulation,mitochondrial RNA regulation,Viral RNA regulation,snoRNA / snRNA / telomerase,P-body / stress granules,Exon Junction Complex,Novel RBP,Other,Nuclei,Cytoplasm
WDR43,ENSG00000163811,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
WRN,ENSG00000165392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
XPO1,ENSG00000082898,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1
XPO5,ENSG00000124571,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1
XRCC5,ENSG00000079246,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
XRCC6,ENSG00000196419,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
XRN1,ENSG00000114127,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
XRN2,ENSG00000088930,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
YBX3,ENSG00000060138,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
YTHDC2,ENSG00000047188,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
YWHAG,ENSG00000170027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA
ZC3H11A,ENSG00000058673,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
ZC3H8,ENSG00000144161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
ZCRB1,ENSG00000139168,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA
ZFC3H1,ENSG00000133858,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
ZFP36,ENSG00000128016,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA
ZNF106,ENSG00000103994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
ZNF326,ENSG00000162664,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ZNF622,ENSG00000173545,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ZRANB2,ENSG00000132485,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAFB,ENSG00000160633,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA
AGO2,ENSG00000123908,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA
NIPBL,ENSG00000164190,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA
ZNF800,ENSG00000048405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA
SDAD1,ENSG00000198301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA
STAU2,ENSG00000040341,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,NA,NA
